ID,flock_number,birth_year,palpation_before,body_development,CUT_before,DIB_placement,DIB_extraction,reproduction_type,reproduction_execution,palpation_after,CUT_after,reproduction_released,brood_sex,DIB_placement_count,DIB_extraction_count,success_insemination_count,fail_insemination_count,success_natural_count,fail_natural_count,pregnant_after_insemination_count,empty_after_insemination_count,pregnant_after_natural_count,empty_after_natural_count
671,2174,2012,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,05/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
672,3115,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
673,7122,2007,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,02/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
674,7245,2007,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,20/09/2016,NULL,2,1,0,1,0,0,0,1,0,0
675,8046,2008,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,21/02/2017,NULL,0,0,0,0,0,0,0,0,0,0
676,8448,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,27/08/2016,NULL,1,1,0,1,0,1,0,1,0,1
677,8538,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,22/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
678,8598,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,22/08/2016,NULL,1,1,0,1,0,1,0,1,0,1
679,8621,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,30/08/2016,NULL,0,0,0,0,0,0,0,0,0,0
680,9329,2009,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,16/02/2017,NULL,0,0,0,0,0,0,0,0,0,0
681,88,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,05/11/2016,NULL,1,1,1,0,0,0,1,0,0,0
682,107,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,18/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
683,156,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,10/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
684,216,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,29/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
685,229,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,11/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
686,261,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,27/10/2016,NULL,1,1,1,0,0,0,1,0,0,0
687,2099,2012,Vacia,NULL,NULL,NULL,NULL,Inseminacion,22/12/2015,Vacia,NULL,06/03/2017,NULL,1,1,1,0,0,0,1,0,0,0
688,2235,2012,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,13/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
689,2373,2012,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,18/10/2016,NULL,1,1,0,1,0,1,0,1,0,1
690,3045,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Preñada,NULL,26/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
691,5068,2015,Vacia,NULL,NULL,21/11/2015,21/11/2015,Inseminacion,27/11/2015,Vacia,CUT,NULL,NULL,2,2,0,1,0,0,0,1,0,0
692,6296,2006,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,NULL,NULL,1,1,1,0,0,0,1,0,0,0
693,8291,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Sin Tacto,NULL,19/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
694,8363,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,21/08/2016,NULL,0,0,0,0,0,0,0,0,0,0
695,9303,2009,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,29/10/2016,NULL,1,1,1,0,0,0,1,0,0,0
696,82250,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,24/08/2016,NULL,2,2,1,1,0,0,1,1,0,0
697,17,2010,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,01/09/2016,NULL,2,2,0,2,0,0,0,2,0,0
698,63,2010,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,02/10/2016,NULL,1,1,0,1,0,0,0,1,0,0
699,98,2010,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,06/09/2016,NULL,1,1,0,1,0,0,0,1,0,0
